step 0: train loss 4.1676, val loss 4.1649
iter 79: loss 2.6806, time 28.78ms, mfu 0.05%
iter 80: loss 2.6173, time 28.39ms, mfu 0.05%
iter 81: loss 2.6891, time 31.02ms, mfu 0.05%
iter 82: loss 2.6911, time 28.08ms, mfu 0.05%
iter 83: loss 2.6275, time 30.13ms, mfu 0.05%
iter 84: loss 2.7292, time 27.73ms, mfu 0.05%
iter 85: loss 2.6829, time 28.23ms, mfu 0.05%
iter 86: loss 2.5994, time 27.70ms, mfu 0.05%
iter 87: loss 2.6463, time 28.03ms, mfu 0.05%
iter 88: loss 2.6111, time 30.28ms, mfu 0.05%
iter 89: loss 2.7312, time 28.17ms, mfu 0.05%
iter 90: loss 2.6180, time 28.89ms, mfu 0.05%
iter 91: loss 2.6678, time 29.03ms, mfu 0.05%
iter 92: loss 2.6055, time 29.12ms, mfu 0.05%
iter 93: loss 2.5397, time 28.24ms, mfu 0.05%
iter 94: loss 2.7052, time 29.03ms, mfu 0.05%
iter 95: loss 2.6428, time 29.86ms, mfu 0.04%
iter 96: loss 2.6829, time 28.76ms, mfu 0.04%
iter 97: loss 2.5873, time 27.74ms, mfu 0.04%
iter 98: loss 2.5377, time 27.86ms, mfu 0.04%
iter 99: loss 2.6871, time 27.76ms, mfu 0.05%
iter 100: loss 2.6648, time 29.05ms, mfu 0.04%
iter 101: loss 2.6579, time 29.02ms, mfu 0.04%
iter 102: loss 2.5922, time 27.54ms, mfu 0.04%
iter 103: loss 2.6345, time 27.01ms, mfu 0.05%
iter 104: loss 2.5047, time 28.83ms, mfu 0.05%
iter 105: loss 2.5732, time 28.00ms, mfu 0.05%
iter 106: loss 2.5281, time 27.49ms, mfu 0.05%
iter 107: loss 2.5841, time 27.41ms, mfu 0.05%
iter 108: loss 2.5639, time 28.43ms, mfu 0.05%
iter 109: loss 2.5932, time 27.69ms, mfu 0.05%
iter 110: loss 2.5891, time 27.68ms, mfu 0.05%
iter 111: loss 2.5346, time 28.61ms, mfu 0.05%
iter 112: loss 2.5361, time 27.60ms, mfu 0.05%
