step 0: train loss 4.1807, val loss 4.1797
saving checkpoint to out-shakespeare-char
iter 105: loss 3.1465, time 11.40ms, mfu 0.01%
iter 106: loss 3.2318, time 11.26ms, mfu 0.01%
iter 107: loss 3.2221, time 11.58ms, mfu 0.01%
iter 108: loss 3.1756, time 11.57ms, mfu 0.01%
iter 109: loss 3.1731, time 11.40ms, mfu 0.01%
iter 110: loss 3.1682, time 11.57ms, mfu 0.01%
iter 111: loss 3.1611, time 11.36ms, mfu 0.01%
iter 112: loss 3.0937, time 12.07ms, mfu 0.01%
iter 113: loss 3.1619, time 11.52ms, mfu 0.01%
iter 114: loss 3.1178, time 11.56ms, mfu 0.01%
iter 115: loss 3.1338, time 12.02ms, mfu 0.01%
iter 116: loss 3.1294, time 11.12ms, mfu 0.01%
iter 117: loss 3.1253, time 11.85ms, mfu 0.01%
iter 118: loss 3.0695, time 11.83ms, mfu 0.01%
iter 119: loss 3.0740, time 11.75ms, mfu 0.01%
iter 120: loss 3.1305, time 11.54ms, mfu 0.01%
iter 121: loss 3.0898, time 11.39ms, mfu 0.01%
iter 122: loss 3.0989, time 11.66ms, mfu 0.01%
iter 123: loss 3.0414, time 12.09ms, mfu 0.01%
iter 151: loss 2.9688, time 11.66ms, mfu 0.01%
iter 125: loss 3.0508, time 11.85ms, mfu 0.01%
iter 126: loss 3.0701, time 11.51ms, mfu 0.01%
iter 127: loss 3.0532, time 11.59ms, mfu 0.01%
iter 128: loss 3.0373, time 11.56ms, mfu 0.01%
iter 129: loss 3.0040, time 11.53ms, mfu 0.01%
iter 130: loss 3.0015, time 11.67ms, mfu 0.01%
iter 131: loss 3.0950, time 11.36ms, mfu 0.01%
iter 132: loss 2.9959, time 11.36ms, mfu 0.01%
iter 133: loss 3.0236, time 11.65ms, mfu 0.01%
iter 134: loss 3.1167, time 11.23ms, mfu 0.01%
iter 135: loss 3.0629, time 11.41ms, mfu 0.01%
iter 136: loss 2.9769, time 11.58ms, mfu 0.01%
iter 137: loss 2.9727, time 11.53ms, mfu 0.01%
iter 138: loss 2.9772, time 11.71ms, mfu 0.01%
iter 139: loss 3.0062, time 11.29ms, mfu 0.01%
iter 140: loss 3.0560, time 11.56ms, mfu 0.01%
iter 141: loss 2.9981, time 11.40ms, mfu 0.01%
iter 142: loss 2.9979, time 11.42ms, mfu 0.01%
iter 143: loss 3.0042, time 11.50ms, mfu 0.01%
iter 144: loss 3.0009, time 11.44ms, mfu 0.01%
iter 145: loss 2.9255, time 11.53ms, mfu 0.01%
iter 146: loss 2.9727, time 11.38ms, mfu 0.01%
iter 147: loss 2.9669, time 11.37ms, mfu 0.01%
iter 148: loss 2.9635, time 11.84ms, mfu 0.01%
iter 149: loss 2.9873, time 11.78ms, mfu 0.01%
iter 150: loss 2.9140, time 11.88ms, mfu 0.01%
iter 151: loss 2.9688, time 11.66ms, mfu 0.01%
iter 152: loss 3.0030, time 11.72ms, mfu 0.01%
iter 153: loss 2.9641, time 11.69ms, mfu 0.01%
iter 154: loss 2.8668, time 11.97ms, mfu 0.01%
iter 155: loss 2.9079, time 11.77ms, mfu 0.01%
iter 156: loss 2.9156, time 11.85ms, mfu 0.01%
iter 157: loss 2.9060, time 11.17ms, mfu 0.01%
iter 158: loss 2.9374, time 11.76ms, mfu 0.01%
iter 159: loss 2.8943, time 11.59ms, mfu 0.01%
iter 160: loss 2.8759, time 11.22ms, mfu 0.01%
iter 161: loss 2.9585, time 11.58ms, mfu 0.01%
iter 162: loss 2.9098, time 11.62ms, mfu 0.01%
iter 163: loss 2.8858, time 11.46ms, mfu 0.01%
iter 164: loss 2.9175, time 11.90ms, mfu 0.01%
iter 165: loss 2.8992, time 11.42ms, mfu 0.01%
iter 166: loss 2.9101, time 12.32ms, mfu 0.01%
iter 167: loss 2.8868, time 11.58ms, mfu 0.01%
iter 168: loss 2.9495, time 12.42ms, mfu 0.01%
iter 169: loss 2.8946, time 11.91ms, mfu 0.01%
iter 170: loss 2.8663, time 11.74ms, mfu 0.01%
iter 171: loss 2.8393, time 11.74ms, mfu 0.01%
iter 172: loss 2.8789, time 11.24ms, mfu 0.01%
iter 173: loss 2.8827, time 11.87ms, mfu 0.01%
iter 174: loss 2.8349, time 11.76ms, mfu 0.01%
iter 175: loss 2.8000, time 11.26ms, mfu 0.01%
iter 176: loss 2.9096, time 11.11ms, mfu 0.01%
iter 177: loss 2.7592, time 11.53ms, mfu 0.01%
iter 178: loss 2.7893, time 11.56ms, mfu 0.01%
iter 179: loss 2.8152, time 12.26ms, mfu 0.01%
iter 180: loss 2.8287, time 11.68ms, mfu 0.01%
iter 181: loss 2.8910, time 11.68ms, mfu 0.01%
iter 182: loss 2.7733, time 11.55ms, mfu 0.01%
iter 183: loss 2.7878, time 12.02ms, mfu 0.01%
iter 184: loss 2.9271, time 11.37ms, mfu 0.01%
iter 185: loss 2.8495, time 11.54ms, mfu 0.01%
iter 186: loss 2.7840, time 11.87ms, mfu 0.01%
iter 187: loss 2.7952, time 11.33ms, mfu 0.01%
iter 188: loss 2.7043, time 11.42ms, mfu 0.01%
iter 189: loss 2.7918, time 11.80ms, mfu 0.01%
iter 190: loss 2.8380, time 11.51ms, mfu 0.01%
iter 191: loss 2.7583, time 11.39ms, mfu 0.01%
iter 192: loss 2.7172, time 11.64ms, mfu 0.01%
iter 193: loss 2.8830, time 11.59ms, mfu 0.01%
iter 194: loss 2.7292, time 11.15ms, mfu 0.01%
iter 195: loss 2.7755, time 11.28ms, mfu 0.01%
iter 196: loss 2.7598, time 11.48ms, mfu 0.01%
iter 197: loss 2.7802, time 11.45ms, mfu 0.01%
iter 198: loss 2.7539, time 11.67ms, mfu 0.01%
iter 199: loss 2.7939, time 11.89ms, mfu 0.01%
iter 200: loss 2.7890, time 11.50ms, mfu 0.01%
iter 201: loss 2.7581, time 11.43ms, mfu 0.01%
iter 202: loss 2.7901, time 11.70ms, mfu 0.01%
iter 203: loss 2.7960, time 11.54ms, mfu 0.01%
iter 204: loss 2.7413, time 11.75ms, mfu 0.01%
iter 205: loss 2.7945, time 11.96ms, mfu 0.01%
iter 206: loss 2.7186, time 11.40ms, mfu 0.01%
iter 207: loss 2.7371, time 11.93ms, mfu 0.01%
iter 208: loss 2.7630, time 11.82ms, mfu 0.01%
iter 209: loss 2.7582, time 11.91ms, mfu 0.01%
iter 210: loss 2.7175, time 11.83ms, mfu 0.01%
iter 211: loss 2.6800, time 11.85ms, mfu 0.01%
iter 212: loss 2.8146, time 11.83ms, mfu 0.01%
iter 213: loss 2.7830, time 11.20ms, mfu 0.01%
iter 214: loss 2.7433, time 11.67ms, mfu 0.01%
iter 215: loss 2.8040, time 11.27ms, mfu 0.01%
iter 216: loss 2.7509, time 12.26ms, mfu 0.01%
iter 217: loss 2.7202, time 11.67ms, mfu 0.01%
iter 218: loss 2.7786, time 11.77ms, mfu 0.01%
iter 219: loss 2.7669, time 12.36ms, mfu 0.01%
iter 220: loss 2.7616, time 11.79ms, mfu 0.01%
iter 221: loss 2.6864, time 12.67ms, mfu 0.01%
iter 222: loss 2.7298, time 11.93ms, mfu 0.01%
iter 223: loss 2.7350, time 11.95ms, mfu 0.01%
iter 224: loss 2.7429, time 12.03ms, mfu 0.01%
iter 225: loss 2.7702, time 12.26ms, mfu 0.01%
iter 226: loss 2.7223, time 11.81ms, mfu 0.01%
iter 227: loss 2.6616, time 12.05ms, mfu 0.01%
iter 228: loss 2.7372, time 12.21ms, mfu 0.01%
iter 229: loss 2.6953, time 12.12ms, mfu 0.01%
iter 230: loss 2.6771, time 12.84ms, mfu 0.01%
