step 0: train loss 4.3219, val loss 4.3089
saving checkpoint to out-shakespeare-char
iter 105: loss 2.5737, time 94.47ms, mfu 0.17%
iter 106: loss 2.4290, time 94.67ms, mfu 0.17%
iter 107: loss 2.5871, time 97.75ms, mfu 0.17%
iter 108: loss 2.5640, time 109.49ms, mfu 0.17%
iter 109: loss 2.6689, time 108.35ms, mfu 0.16%
iter 110: loss 2.5177, time 104.50ms, mfu 0.16%
iter 111: loss 2.4993, time 105.45ms, mfu 0.16%
iter 112: loss 2.5055, time 103.21ms, mfu 0.16%
iter 113: loss 2.5010, time 103.77ms, mfu 0.16%
iter 114: loss 2.5778, time 103.83ms, mfu 0.16%
iter 115: loss 2.4629, time 101.88ms, mfu 0.16%
iter 116: loss 2.5322, time 103.96ms, mfu 0.16%
iter 117: loss 2.5306, time 96.85ms, mfu 0.16%
iter 118: loss 2.5172, time 96.72ms, mfu 0.16%
iter 119: loss 2.5444, time 94.18ms, mfu 0.16%
iter 120: loss 2.4224, time 96.77ms, mfu 0.16%
iter 121: loss 2.4977, time 102.35ms, mfu 0.16%
iter 122: loss 2.4652, time 102.36ms, mfu 0.16%
iter 123: loss 2.4945, time 106.18ms, mfu 0.16%
iter 124: loss 2.4978, time 100.23ms, mfu 0.16%
iter 125: loss 2.5031, time 105.36ms, mfu 0.16%
iter 126: loss 2.4132, time 101.59ms, mfu 0.16%
iter 127: loss 2.4279, time 100.74ms, mfu 0.16%
iter 128: loss 2.5011, time 105.39ms, mfu 0.16%
iter 129: loss 2.4894, time 103.39ms, mfu 0.16%
iter 130: loss 2.4485, time 107.81ms, mfu 0.16%
iter 131: loss 2.5244, time 101.96ms, mfu 0.16%
iter 132: loss 2.4506, time 99.73ms, mfu 0.16%
iter 133: loss 2.5171, time 95.58ms, mfu 0.16%
iter 134: loss 2.4238, time 96.81ms, mfu 0.16%
iter 135: loss 2.3963, time 97.02ms, mfu 0.16%
iter 136: loss 2.4438, time 97.80ms, mfu 0.16%
iter 137: loss 2.5146, time 100.71ms, mfu 0.16%
iter 138: loss 2.4085, time 100.63ms, mfu 0.16%
iter 139: loss 2.4632, time 100.98ms, mfu 0.16%
iter 140: loss 2.4111, time 105.53ms, mfu 0.16%
iter 141: loss 2.4491, time 102.54ms, mfu 0.16%
iter 142: loss 2.5581, time 105.17ms, mfu 0.16%
iter 143: loss 2.5289, time 101.70ms, mfu 0.16%
iter 144: loss 2.4156, time 105.09ms, mfu 0.16%
iter 145: loss 2.4352, time 99.88ms, mfu 0.16%
iter 146: loss 2.4197, time 98.02ms, mfu 0.16%
iter 147: loss 2.4665, time 97.44ms, mfu 0.16%
iter 148: loss 2.4267, time 97.05ms, mfu 0.16%
iter 149: loss 2.4139, time 96.46ms, mfu 0.16%
iter 150: loss 2.3544, time 95.56ms, mfu 0.16%
iter 151: loss 2.3214, time 97.17ms, mfu 0.16%
iter 152: loss 2.4105, time 95.59ms, mfu 0.16%
iter 153: loss 2.4138, time 95.12ms, mfu 0.16%
iter 154: loss 2.3814, time 98.98ms, mfu 0.16%
iter 155: loss 2.4069, time 98.27ms, mfu 0.16%
iter 156: loss 2.4347, time 94.90ms, mfu 0.16%
iter 157: loss 2.4474, time 101.63ms, mfu 0.16%
iter 158: loss 2.3245, time 100.84ms, mfu 0.16%
iter 159: loss 2.4035, time 100.24ms, mfu 0.16%
iter 160: loss 2.5129, time 94.25ms, mfu 0.16%
iter 161: loss 2.4627, time 95.97ms, mfu 0.16%
iter 162: loss 2.3792, time 95.83ms, mfu 0.17%
iter 163: loss 2.3804, time 95.65ms, mfu 0.17%
iter 164: loss 2.3013, time 93.51ms, mfu 0.17%
iter 165: loss 2.4945, time 90.50ms, mfu 0.17%
iter 166: loss 2.2669, time 91.65ms, mfu 0.17%
iter 167: loss 2.3574, time 97.31ms, mfu 0.17%
iter 168: loss 2.3135, time 97.82ms, mfu 0.17%
iter 169: loss 2.4732, time 99.77ms, mfu 0.17%
iter 170: loss 2.3653, time 97.74ms, mfu 0.17%
iter 171: loss 2.3610, time 98.30ms, mfu 0.17%
iter 172: loss 2.3926, time 98.52ms, mfu 0.17%
iter 173: loss 2.4364, time 97.48ms, mfu 0.17%
iter 174: loss 2.3851, time 100.46ms, mfu 0.17%
iter 175: loss 2.2922, time 105.70ms, mfu 0.16%
iter 176: loss 2.3736, time 99.62ms, mfu 0.16%
iter 177: loss 2.3702, time 97.35ms, mfu 0.16%
iter 178: loss 2.4498, time 96.04ms, mfu 0.16%
iter 179: loss 2.3380, time 98.71ms, mfu 0.16%
iter 180: loss 2.4126, time 91.44ms, mfu 0.17%
iter 181: loss 2.4700, time 98.50ms, mfu 0.17%
iter 182: loss 2.3403, time 93.18ms, mfu 0.17%
iter 183: loss 2.2813, time 94.76ms, mfu 0.17%
iter 184: loss 2.3435, time 96.98ms, mfu 0.17%
iter 185: loss 2.3043, time 93.93ms, mfu 0.17%
iter 186: loss 2.3506, time 95.24ms, mfu 0.17%
iter 187: loss 2.3238, time 95.25ms, mfu 0.17%
iter 188: loss 2.3694, time 96.40ms, mfu 0.17%
iter 189: loss 2.3507, time 97.54ms, mfu 0.17%
iter 190: loss 2.3852, time 93.37ms, mfu 0.17%
iter 191: loss 2.3369, time 97.77ms, mfu 0.17%
iter 192: loss 2.3833, time 96.20ms, mfu 0.17%
iter 193: loss 2.3184, time 99.72ms, mfu 0.17%
iter 194: loss 2.4200, time 92.16ms, mfu 0.17%
iter 195: loss 2.3829, time 95.18ms, mfu 0.17%
iter 196: loss 2.2695, time 93.52ms, mfu 0.17%
iter 197: loss 2.4695, time 94.14ms, mfu 0.17%
iter 198: loss 2.3677, time 95.26ms, mfu 0.17%
iter 199: loss 2.4152, time 101.80ms, mfu 0.17%
iter 200: loss 2.2507, time 103.54ms, mfu 0.17%
iter 201: loss 2.2215, time 103.37ms, mfu 0.17%
iter 202: loss 2.3186, time 97.17ms, mfu 0.17%
iter 203: loss 2.3630, time 100.40ms, mfu 0.17%
iter 204: loss 2.3613, time 103.05ms, mfu 0.16%
iter 205: loss 2.3347, time 101.30ms, mfu 0.16%
iter 206: loss 2.3908, time 105.83ms, mfu 0.16%
iter 207: loss 2.3356, time 101.53ms, mfu 0.16%
iter 208: loss 2.4062, time 100.94ms, mfu 0.16%
iter 209: loss 2.2788, time 98.50ms, mfu 0.16%
iter 210: loss 2.2818, time 98.47ms, mfu 0.16%
iter 211: loss 2.2059, time 95.97ms, mfu 0.16%
iter 212: loss 2.2504, time 95.49ms, mfu 0.16%
iter 213: loss 2.2933, time 97.09ms, mfu 0.16%
iter 214: loss 2.3919, time 97.34ms, mfu 0.16%
iter 215: loss 2.2929, time 94.48ms, mfu 0.16%
iter 216: loss 2.2003, time 98.45ms, mfu 0.16%
iter 217: loss 2.2223, time 98.58ms, mfu 0.16%
iter 218: loss 2.2350, time 100.59ms, mfu 0.16%
iter 219: loss 2.2091, time 94.89ms, mfu 0.16%
iter 220: loss 2.2896, time 95.61ms, mfu 0.17%
iter 221: loss 2.2850, time 99.05ms, mfu 0.17%
iter 222: loss 2.2984, time 95.26ms, mfu 0.17%
iter 223: loss 2.3632, time 96.62ms, mfu 0.17%
iter 224: loss 2.3093, time 95.24ms, mfu 0.17%
iter 225: loss 2.2495, time 95.34ms, mfu 0.17%
iter 226: loss 2.3125, time 95.27ms, mfu 0.17%
iter 227: loss 2.3051, time 95.57ms, mfu 0.17%
iter 228: loss 2.2794, time 100.16ms, mfu 0.17%
iter 229: loss 2.2017, time 100.26ms, mfu 0.17%
iter 230: loss 2.2591, time 102.82ms, mfu 0.17%
iter 231: loss 2.3117, time 98.77ms, mfu 0.16%
iter 232: loss 2.3243, time 100.41ms, mfu 0.16%
iter 233: loss 2.3175, time 117.89ms, mfu 0.16%
iter 234: loss 2.2727, time 105.45ms, mfu 0.16%
iter 235: loss 2.2881, time 108.01ms, mfu 0.16%
iter 236: loss 2.2033, time 103.16ms, mfu 0.16%
iter 237: loss 2.3341, time 115.77ms, mfu 0.16%
iter 238: loss 2.3738, time 100.84ms, mfu 0.16%
iter 239: loss 2.3038, time 98.01ms, mfu 0.16%
iter 240: loss 2.2802, time 100.30ms, mfu 0.16%
iter 241: loss 2.3005, time 97.92ms, mfu 0.16%
iter 242: loss 2.2530, time 96.82ms, mfu 0.16%
iter 243: loss 2.2903, time 94.92ms, mfu 0.16%
iter 244: loss 2.2180, time 99.18ms, mfu 0.16%
iter 245: loss 2.2784, time 94.29ms, mfu 0.16%
iter 246: loss 2.2121, time 95.63ms, mfu 0.16%
iter 247: loss 2.1804, time 95.96ms, mfu 0.16%
iter 248: loss 2.2924, time 95.83ms, mfu 0.16%
iter 249: loss 2.1815, time 94.44ms, mfu 0.16%
step 250: train loss 2.2618, val loss 2.2671
saving checkpoint to out-shakespeare-char
iter 250: loss 2.2458, time 1456.26ms, mfu 0.15%
iter 251: loss 2.2302, time 105.37ms, mfu 0.15%
iter 252: loss 2.2916, time 104.86ms, mfu 0.15%
iter 253: loss 2.2154, time 104.83ms, mfu 0.15%
iter 254: loss 2.0798, time 104.58ms, mfu 0.15%
iter 255: loss 2.2006, time 103.20ms, mfu 0.15%
iter 256: loss 2.1694, time 97.92ms, mfu 0.15%
iter 257: loss 2.2101, time 99.90ms, mfu 0.15%
iter 258: loss 2.2469, time 103.46ms, mfu 0.15%
iter 259: loss 2.2971, time 96.48ms, mfu 0.16%
iter 260: loss 2.2697, time 100.50ms, mfu 0.16%
iter 261: loss 2.2578, time 98.93ms, mfu 0.16%
iter 262: loss 2.1273, time 99.76ms, mfu 0.16%
iter 263: loss 2.2059, time 98.95ms, mfu 0.16%
iter 264: loss 2.2527, time 100.25ms, mfu 0.16%
iter 265: loss 2.2652, time 99.97ms, mfu 0.16%
iter 266: loss 2.2224, time 98.45ms, mfu 0.16%
iter 267: loss 2.2655, time 98.26ms, mfu 0.16%
iter 268: loss 2.2201, time 103.84ms, mfu 0.16%
iter 269: loss 2.2367, time 99.11ms, mfu 0.16%
iter 270: loss 2.2134, time 97.05ms, mfu 0.16%
iter 271: loss 2.2685, time 98.08ms, mfu 0.16%
iter 272: loss 2.2837, time 97.84ms, mfu 0.16%
iter 273: loss 2.2373, time 98.70ms, mfu 0.16%
iter 274: loss 2.2446, time 98.29ms, mfu 0.16%
iter 275: loss 2.2548, time 98.00ms, mfu 0.16%
iter 276: loss 2.3186, time 103.36ms, mfu 0.16%
iter 277: loss 2.2991, time 108.80ms, mfu 0.16%
iter 278: loss 2.2205, time 103.02ms, mfu 0.16%
iter 279: loss 2.1761, time 104.58ms, mfu 0.16%
iter 280: loss 2.2494, time 126.97ms, mfu 0.16%
iter 281: loss 2.1982, time 106.82ms, mfu 0.16%
iter 282: loss 2.1869, time 101.58ms, mfu 0.16%
iter 283: loss 2.2366, time 106.46ms, mfu 0.16%
iter 284: loss 2.2364, time 104.79ms, mfu 0.16%
iter 285: loss 2.2856, time 99.90ms, mfu 0.16%
iter 286: loss 2.1821, time 96.07ms, mfu 0.16%
iter 287: loss 2.2011, time 98.08ms, mfu 0.16%
iter 288: loss 2.2434, time 102.55ms, mfu 0.16%
iter 289: loss 2.1898, time 98.01ms, mfu 0.16%
iter 290: loss 2.2021, time 95.88ms, mfu 0.16%
iter 291: loss 2.2630, time 100.62ms, mfu 0.16%
iter 292: loss 2.2337, time 96.31ms, mfu 0.16%
iter 293: loss 2.2139, time 102.10ms, mfu 0.16%
iter 294: loss 2.2263, time 99.47ms, mfu 0.16%
iter 295: loss 2.2374, time 101.77ms, mfu 0.16%
iter 296: loss 2.1979, time 103.34ms, mfu 0.16%
iter 297: loss 2.1419, time 97.27ms, mfu 0.16%
iter 298: loss 2.2513, time 106.20ms, mfu 0.16%
iter 299: loss 2.1632, time 96.29ms, mfu 0.16%
iter 300: loss 2.3224, time 99.31ms, mfu 0.16%
iter 301: loss 2.1304, time 99.22ms, mfu 0.16%
iter 302: loss 2.1455, time 103.98ms, mfu 0.16%
iter 303: loss 2.1581, time 100.33ms, mfu 0.16%
iter 304: loss 2.1453, time 98.91ms, mfu 0.16%
iter 305: loss 2.1826, time 99.75ms, mfu 0.16%
iter 306: loss 2.2460, time 104.39ms, mfu 0.16%
iter 307: loss 2.2613, time 106.05ms, mfu 0.16%
iter 308: loss 2.0812, time 106.73ms, mfu 0.16%
iter 309: loss 2.1659, time 104.99ms, mfu 0.16%
iter 310: loss 2.1731, time 108.56ms, mfu 0.16%
iter 311: loss 2.1848, time 109.42ms, mfu 0.16%
iter 312: loss 2.2738, time 108.50ms, mfu 0.16%
iter 313: loss 2.3604, time 105.39ms, mfu 0.16%
iter 314: loss 2.1444, time 100.84ms, mfu 0.16%
iter 315: loss 2.2789, time 98.00ms, mfu 0.16%
iter 316: loss 2.1689, time 96.51ms, mfu 0.16%
iter 317: loss 2.1826, time 99.24ms, mfu 0.16%
iter 318: loss 2.2949, time 96.58ms, mfu 0.16%
iter 319: loss 2.1683, time 100.37ms, mfu 0.16%
iter 320: loss 2.2266, time 99.33ms, mfu 0.16%
iter 321: loss 2.1803, time 99.70ms, mfu 0.16%
iter 322: loss 2.1345, time 106.73ms, mfu 0.16%
iter 323: loss 2.2162, time 95.84ms, mfu 0.16%
iter 324: loss 2.2288, time 98.22ms, mfu 0.16%
iter 325: loss 2.2415, time 96.67ms, mfu 0.16%
iter 326: loss 2.2408, time 100.80ms, mfu 0.16%
iter 327: loss 2.1383, time 101.04ms, mfu 0.16%
iter 328: loss 2.2012, time 99.24ms, mfu 0.16%
iter 329: loss 2.1002, time 99.12ms, mfu 0.16%
iter 330: loss 2.2364, time 107.01ms, mfu 0.16%
iter 331: loss 2.1459, time 104.82ms, mfu 0.16%
iter 332: loss 2.1678, time 99.16ms, mfu 0.16%
iter 333: loss 2.0802, time 99.60ms, mfu 0.16%
iter 334: loss 2.1048, time 101.34ms, mfu 0.16%
iter 335: loss 2.1220, time 104.30ms, mfu 0.16%
iter 336: loss 2.1593, time 101.94ms, mfu 0.16%
iter 337: loss 2.1828, time 105.13ms, mfu 0.16%
iter 338: loss 2.0717, time 106.87ms, mfu 0.16%
iter 339: loss 2.0933, time 105.70ms, mfu 0.16%
iter 340: loss 2.1136, time 104.18ms, mfu 0.16%
iter 341: loss 2.0134, time 103.29ms, mfu 0.16%
iter 342: loss 2.1905, time 103.03ms, mfu 0.16%
iter 343: loss 2.2762, time 103.78ms, mfu 0.16%
iter 344: loss 2.1435, time 103.83ms, mfu 0.16%
iter 345: loss 2.2284, time 97.60ms, mfu 0.16%
iter 346: loss 2.1621, time 97.58ms, mfu 0.16%
iter 347: loss 2.0925, time 98.09ms, mfu 0.16%
iter 348: loss 2.1559, time 96.70ms, mfu 0.16%
iter 349: loss 2.1071, time 98.18ms, mfu 0.16%
iter 350: loss 2.2099, time 100.12ms, mfu 0.16%
iter 351: loss 2.1652, time 103.33ms, mfu 0.16%
iter 352: loss 2.0862, time 98.70ms, mfu 0.16%
iter 353: loss 2.1281, time 98.07ms, mfu 0.16%
iter 354: loss 2.1517, time 99.44ms, mfu 0.16%
iter 355: loss 2.2056, time 97.77ms, mfu 0.16%
iter 356: loss 2.0273, time 98.07ms, mfu 0.16%
iter 357: loss 2.1822, time 97.02ms, mfu 0.16%
iter 358: loss 2.1318, time 96.92ms, mfu 0.16%
iter 359: loss 2.0745, time 104.53ms, mfu 0.16%
iter 360: loss 2.1464, time 96.56ms, mfu 0.16%
iter 361: loss 2.0920, time 103.93ms, mfu 0.16%
iter 362: loss 2.1580, time 99.11ms, mfu 0.16%
iter 363: loss 2.1351, time 98.76ms, mfu 0.16%
iter 364: loss 2.1809, time 100.76ms, mfu 0.16%
iter 365: loss 2.2245, time 113.80ms, mfu 0.16%
iter 366: loss 2.0794, time 110.02ms, mfu 0.16%
iter 367: loss 2.1884, time 105.91ms, mfu 0.16%
iter 368: loss 2.1063, time 107.23ms, mfu 0.16%
iter 369: loss 2.1493, time 109.37ms, mfu 0.16%
iter 370: loss 2.2032, time 109.11ms, mfu 0.16%
iter 371: loss 2.0820, time 111.27ms, mfu 0.15%
iter 372: loss 2.1236, time 112.14ms, mfu 0.15%
iter 373: loss 2.2161, time 105.29ms, mfu 0.15%
iter 374: loss 2.1169, time 99.18ms, mfu 0.15%
iter 375: loss 2.1105, time 99.49ms, mfu 0.16%
iter 376: loss 2.0981, time 99.27ms, mfu 0.16%
iter 377: loss 2.1677, time 108.49ms, mfu 0.16%
iter 378: loss 2.2070, time 103.92ms, mfu 0.16%
iter 379: loss 2.1111, time 104.60ms, mfu 0.16%
iter 380: loss 2.0723, time 102.72ms, mfu 0.16%
iter 381: loss 2.0426, time 104.68ms, mfu 0.16%
iter 382: loss 2.0817, time 98.61ms, mfu 0.16%
iter 383: loss 2.1951, time 98.57ms, mfu 0.16%
iter 384: loss 2.1535, time 99.83ms, mfu 0.16%
iter 385: loss 2.0361, time 98.42ms, mfu 0.16%
iter 386: loss 2.0301, time 99.49ms, mfu 0.16%
iter 387: loss 2.1470, time 101.98ms, mfu 0.16%
iter 388: loss 1.9999, time 98.09ms, mfu 0.16%
iter 389: loss 2.1174, time 99.35ms, mfu 0.16%
iter 390: loss 2.0909, time 102.15ms, mfu 0.16%
iter 391: loss 2.1547, time 97.64ms, mfu 0.16%
iter 392: loss 2.0327, time 101.77ms, mfu 0.16%
iter 393: loss 2.1569, time 108.69ms, mfu 0.16%
iter 394: loss 2.0479, time 110.37ms, mfu 0.16%
iter 395: loss 1.9960, time 107.50ms, mfu 0.16%
iter 396: loss 2.1089, time 110.47ms, mfu 0.16%
iter 397: loss 2.1197, time 108.39ms, mfu 0.16%
iter 398: loss 2.1995, time 109.59ms, mfu 0.15%
iter 399: loss 2.1065, time 106.94ms, mfu 0.15%
iter 400: loss 2.0808, time 109.48ms, mfu 0.15%
iter 401: loss 2.1759, time 112.83ms, mfu 0.15%
iter 402: loss 2.0163, time 109.42ms, mfu 0.15%
iter 403: loss 2.1895, time 110.58ms, mfu 0.15%
iter 404: loss 2.1536, time 105.16ms, mfu 0.15%
iter 405: loss 2.0870, time 107.69ms, mfu 0.15%
iter 406: loss 2.0961, time 105.56ms, mfu 0.15%
iter 407: loss 1.9141, time 108.11ms, mfu 0.15%
iter 408: loss 2.0693, time 107.67ms, mfu 0.15%
iter 409: loss 2.0389, time 107.03ms, mfu 0.15%
iter 410: loss 2.0978, time 100.49ms, mfu 0.15%
iter 411: loss 2.0882, time 109.83ms, mfu 0.15%
iter 412: loss 2.0781, time 109.41ms, mfu 0.15%
iter 413: loss 2.1716, time 109.95ms, mfu 0.15%
iter 414: loss 2.1071, time 106.32ms, mfu 0.15%
iter 415: loss 2.1238, time 110.18ms, mfu 0.15%
iter 416: loss 2.0403, time 110.60ms, mfu 0.15%
iter 417: loss 2.1220, time 106.37ms, mfu 0.15%
iter 418: loss 2.0271, time 105.95ms, mfu 0.15%
iter 419: loss 2.1082, time 107.11ms, mfu 0.15%
iter 420: loss 2.0119, time 104.21ms, mfu 0.15%
iter 421: loss 2.0548, time 111.39ms, mfu 0.15%
iter 422: loss 2.0548, time 119.20ms, mfu 0.15%
iter 423: loss 2.0385, time 115.69ms, mfu 0.15%
iter 424: loss 2.1140, time 109.77ms, mfu 0.15%
iter 425: loss 2.0276, time 114.35ms, mfu 0.15%
iter 426: loss 2.1034, time 117.80ms, mfu 0.15%
iter 427: loss 2.0672, time 110.13ms, mfu 0.15%
iter 428: loss 2.1363, time 118.89ms, mfu 0.15%
iter 429: loss 2.0511, time 113.27ms, mfu 0.14%
iter 430: loss 2.0662, time 106.65ms, mfu 0.15%
iter 431: loss 2.1512, time 103.57ms, mfu 0.15%
iter 432: loss 2.1472, time 106.38ms, mfu 0.15%
iter 433: loss 2.0967, time 107.37ms, mfu 0.15%
iter 434: loss 2.0378, time 107.34ms, mfu 0.15%
iter 435: loss 2.0820, time 111.84ms, mfu 0.15%
